No,Priority,Category,Rule,Description,Standard,Anti-Pattern,Impact
39,HIGH,Layout,viewport-meta,width=device-width initial-scale=1,Web basics,Disabling zoom or wrong viewport,Mobile rendering broken
40,HIGH,Layout,mobile-first,Design mobile-first then scale up,Responsive design,Desktop-first with mobile patches,Poor mobile experience
41,HIGH,Layout,breakpoint-consistency,Systematic breakpoints 375/768/1024/1440,Responsive design,Random breakpoint values,Inconsistent responsive behavior
42,HIGH,Layout,readable-font-size,Minimum 16px body text on mobile,Web basics,12px body text on mobile,iOS auto-zoom unreadable text
43,HIGH,Layout,line-length-control,Mobile 35-60 chars desktop 60-75 chars,Typography,Full-width paragraphs on desktop,Poor readability eye fatigue
44,HIGH,Layout,horizontal-scroll,No horizontal scroll on mobile,Responsive design,Content wider than viewport,Broken mobile layout
45,HIGH,Layout,spacing-scale,4pt/8dp incremental spacing system,Material Design,Random spacing values,Inconsistent visual rhythm
46,HIGH,Layout,container-width,Consistent max-width on desktop,Responsive design,Different max-widths per section,Inconsistent content alignment
47,HIGH,Layout,z-index-management,Define layered z-index scale,Web development,Arbitrary z-index values,Elements overlapping unexpectedly
48,HIGH,Navigation,bottom-nav-limit,Bottom navigation max 5 items with labels,Material Design,More than 5 items in bottom nav,Overcrowded navigation
49,HIGH,Navigation,back-behavior,Back navigation predictable and consistent,Apple HIG Material Design,Broken or unexpected back behavior,Users lost in app
50,HIGH,Navigation,deep-linking,All key screens reachable via URL,Apple HIG Material Design,No deep links for key content,Cannot share or bookmark content
51,HIGH,Navigation,nav-label-icon,Both icon and text label in navigation,Material Design,Icon-only navigation items,Poor discoverability
52,HIGH,Navigation,nav-state-active,Current location visually highlighted,Apple HIG Material Design,No active state in navigation,Users don't know where they are
53,HIGH,Navigation,nav-hierarchy,Primary vs secondary nav clearly separated,Material Design,Mixing primary and secondary nav,Confusing navigation structure
54,HIGH,Navigation,adaptive-navigation,Large screens sidebar small screens bottom/top nav,Material Design,Same navigation for all sizes,Poor desktop or mobile nav
55,MEDIUM,Typography,line-height,Use 1.5-1.75 for body text,Typography,Line-height 1.0 or 1.2 for body,Text lines touching hard to read
56,MEDIUM,Typography,line-length,Limit to 65-75 characters per line,Typography,Paragraphs spanning full viewport width,Eye fatigue poor readability
57,MEDIUM,Typography,font-pairing,Match heading/body font personalities,Typography,Random font combinations,Visual discord
58,MEDIUM,Typography,font-scale,Consistent type scale,Typography,Arbitrary font sizes,Inconsistent hierarchy
59,MEDIUM,Typography,contrast-readability,Darker text on light backgrounds,Typography,Light gray text on white,Low contrast unreadable
60,MEDIUM,Typography,color-semantic,Define semantic color tokens not raw hex,Material Design,Hardcoded hex values in components,Maintenance nightmare
61,MEDIUM,Typography,color-dark-mode,Desaturated lighter variants not inverted,Apple HIG,Inverted colors in dark mode,Eye strain poor contrast
62,MEDIUM,Typography,number-tabular,Use tabular figures for data columns,Typography,Proportional numbers in tables,Numbers jumping around in columns
63,MEDIUM,Animation,duration-timing,150-300ms micro-interactions ≤400ms complex,Material Design,Animations over 500ms,Slow feeling UI
64,MEDIUM,Animation,transform-performance,Use transform/opacity only,Web performance,Animating width/height/top/left,Layout thrashing janky animation
65,MEDIUM,Animation,loading-states,Show skeleton when loading exceeds 300ms,Material Design,Blank screen during load,Poor perceived performance
66,MEDIUM,Animation,easing,ease-out entering ease-in exiting,Animation principles,Linear easing for UI transitions,Robotic unnatural feel
67,MEDIUM,Animation,motion-meaning,Every animation expresses cause-effect,Apple HIG,Decorative-only animation,Animation feels pointless
68,MEDIUM,Animation,state-transition,State changes animate smoothly not snap,Material Design,Instant state transitions,Jarring experience
69,MEDIUM,Animation,continuity,Page transitions maintain spatial continuity,Apple HIG,Hard cuts between screens,Users lose context
70,MEDIUM,Animation,exit-faster-than-enter,Exit ~60-70% of enter duration,Material Design,Same duration for enter and exit,Exit feels sluggish
71,MEDIUM,Animation,stagger-sequence,30-50ms per item for lists/grids,Material Design,All items appearing at once,No visual rhythm
72,MEDIUM,Animation,spring-physics,Prefer spring curves for natural feel,Apple HIG,Linear or unnatural easing,Mechanical feel
73,MEDIUM,Animation,interruptible,Animations cancelable by user gesture,Apple HIG,Blocking animations,Users stuck waiting
74,MEDIUM,Animation,scale-feedback,Subtle scale 0.95-1.05 on press,Apple HIG Material Design,No press feedback on tappable cards,No confirmation of interaction
75,MEDIUM,Forms,input-labels,Visible label per input not placeholder-only,Material Design,Placeholder as label,Label disappears on focus
76,MEDIUM,Forms,error-placement,Show error below the related field,Material Design,Error summary at page top,Users can't find which field has error
77,MEDIUM,Forms,submit-feedback,Loading then success/error on submit,Material Design,No feedback after submit,Users don't know if form submitted
78,MEDIUM,Forms,required-indicators,Mark required fields,Material Design,No indication of required fields,Users submit incomplete forms
79,MEDIUM,Forms,empty-states,Helpful message and action when no content,Material Design,Blank screen with no guidance,Users don't know what to do
80,MEDIUM,Forms,toast-dismiss,Auto-dismiss toasts in 3-5s,Material Design,Toasts that never dismiss,Screen cluttered with notifications
81,MEDIUM,Forms,confirmation-dialogs,Confirm before destructive actions,Material Design,No confirmation for delete,Accidental data loss
82,MEDIUM,Forms,input-helper-text,Persistent helper text below complex inputs,Material Design,Only placeholder text no helper,Users don't understand input format
83,MEDIUM,Forms,disabled-states,Reduced opacity 0.38-0.5 + cursor change,Material Design,Disabled elements look clickable,Users confused why nothing happens
84,MEDIUM,Forms,progressive-disclosure,Reveal complex options progressively,Apple HIG,Showing all options upfront,Users overwhelmed
85,MEDIUM,Forms,inline-validation,Validate on blur not keystroke,Material Design,Validating on every keystroke,Annoying premature errors
86,MEDIUM,Forms,input-type-keyboard,Semantic types email/tel/number,Material Design,type=text for email fields,Wrong mobile keyboard
87,MEDIUM,Forms,password-toggle,Show/hide toggle for password fields,Material Design,No way to see password,Users can't verify input
88,MEDIUM,Forms,undo-support,Allow undo for destructive actions,Apple HIG,No undo for delete,Permanent accidental deletions
89,MEDIUM,Forms,error-recovery,Messages include clear recovery path,Apple HIG,Error without solution,Users stuck
90,MEDIUM,Forms,multi-step-progress,Step indicator + back navigation,Material Design,No progress indication in multi-step,Users don't know where they are
91,MEDIUM,Forms,focus-management,Auto-focus first invalid field after submit error,WCAG,No focus on error field,Users have to search for error
92,MEDIUM,Forms,destructive-emphasis,Destructive actions use danger color visually separated,Apple HIG Material Design,Delete button same style as save,Accidental deletions
93,LOW,Charts,chart-type,Match chart to data type,Data visualization,Pie chart for time series,Misleading data representation
94,LOW,Charts,color-guidance,Accessible color palettes,WCAG,Red/green only pairs,Colorblind users cannot distinguish
95,LOW,Charts,data-table,Provide table alternative for accessibility,WCAG,Charts alone without data table,Screen reader users cannot access data
96,LOW,Charts,legend-visible,Always show legend near chart,Material Design,Legend hidden or detached,Users don't know what colors mean
97,LOW,Charts,tooltip-on-interact,Show exact values on hover/tap,Material Design,No tooltips on chart elements,Users can't read exact values
98,LOW,Charts,axis-labels,Label axes with units and readable scale,Data visualization,Unlabeled or truncated axis labels,Data meaning unclear
99,LOW,Charts,empty-data-state,Meaningful empty state with guidance,Material Design,Broken empty chart,Users don't know why chart is empty
